location_id,sku_id,on_hand_qty,safety_stock,reorder_point,unit_cost,last_updated
BR002,SKU0036,63,25,60,10.14,2025-10-07
BR002,SKU0037,50,24,45,6.81,2025-10-09
BR002,SKU0038,57,23,64,7.78,2025-09-26
BR002,SKU0039,55,17,65,7.18,2025-10-02
BR002,SKU0040,60,18,67,5.74,2025-09-03
BR002,SKU0041,58,19,52,11.67,2025-10-18
BR002,SKU0042,59,10,48,1.01,2025-09-10
BR002,SKU0043,53,10,46,2.87,2025-09-22
BR002,SKU0044,55,14,50,4.76,2025-10-06
BR002,SKU0045,51,23,22,4.26,2025-12-01
BR002,SKU0046,64,16,63,3.59,2025-09-29
BR002,SKU0047,57,23,47,14.28,2025-09-06
BR002,SKU0048,66,11,52,6.74,2025-12-18
BR002,SKU0049,73,13,23,6.34,2025-09-23
BR002,SKU0050,55,13,46,1.28,2025-10-26
BR002,SKU0051,45,18,65,3.42,2025-11-04
BR002,SKU0052,48,20,23,12.13,2025-12-27
BR002,SKU0053,55,24,49,11.16,2025-09-28
BR002,SKU0054,61,13,31,9.31,2025-12-16
BR002,SKU0055,60,15,37,3.61,2025-12-02
BR002,SKU0056,69,26,45,5.79,2025-12-16
BR002,SKU0057,73,20,50,3.11,2025-09-02
BR002,SKU0058,49,19,65,2.16,2025-12-25
BR002,SKU0059,63,17,39,11.81,2025-09-12
BR002,SKU0060,58,17,28,7.75,2025-10-09
BR002,SKU0061,57,29,39,6.68,2025-12-16
BR002,SKU0062,60,25,44,2.66,2025-09-14
BR002,SKU0063,48,22,50,2.98,2025-10-20
BR002,SKU0064,70,26,30,13.61,2025-10-27
BR002,SKU0065,57,21,33,9.25,2025-12-13
BR002,SKU0066,60,19,44,2.92,2025-10-03
BR002,SKU0067,53,13,32,10.55,2025-12-07
BR002,SKU0068,56,27,57,8.79,2025-12-02
BR002,SKU0069,56,14,52,11.74,2025-12-06
BR002,SKU0070,59,29,23,13.75,2025-09-29
BR002,SKU0071,59,24,60,1.04,2025-12-20
BR002,SKU0072,62,24,33,7.28,2025-09-30
BR002,SKU0073,58,19,31,14.71,2025-09-07
BR002,SKU0074,63,13,41,4.11,2025-10-24
BR002,SKU0075,62,16,28,11.03,2025-12-20
BR002,SKU0076,57,29,57,4.43,2025-12-03
BR002,SKU0077,65,22,69,2.15,2025-09-20
BR002,SKU0078,48,16,23,4.33,2025-12-07
BR002,SKU0079,61,27,40,14.06,2025-12-27
BR002,SKU0080,68,28,23,13.55,2025-12-27
BR003,SKU0001,52,10,53,2.91,2025-12-29
BR003,SKU0002,70,18,50,8.66,2025-10-08
BR003,SKU0003,61,16,33,8.93,2025-10-28
BR003,SKU0004,72,12,23,12.57,2025-10-11
BR003,SKU0005,72,21,53,2.39,2025-09-01
BR003,SKU0006,50,19,40,6.1,2025-09-25
BR003,SKU0007,59,25,55,5.01,2025-11-23
BR003,SKU0008,64,23,25,6.45,2025-12-10
BR003,SKU0009,57,15,55,3.41,2025-11-28
BR003,SKU0010,58,10,61,8.71,2025-10-14
BR003,SKU0011,69,15,33,2.79,2025-10-25
BR003,SKU0012,58,26,49,6.95,2025-12-11
BR003,SKU0013,73,23,43,5.27,2025-12-21
BR003,SKU0014,50,13,65,4.46,2025-10-03
BR003,SKU0015,51,19,62,1.55,2025-09-26
BR003,SKU0016,59,19,27,8.15,2025-11-28
BR003,SKU0017,75,19,27,8.11,2025-12-01
BR003,SKU0018,62,16,23,6.25,2025-10-29
BR003,SKU0019,58,12,61,1.77,2025-11-03
BR003,SKU0020,54,25,22,13.53,2025-09-04
BR003,SKU0021,67,26,57,3.15,2025-11-21
BR003,SKU0022,53,23,32,10.81,2025-09-28
BR003,SKU0023,58,12,46,11.26,2025-09-03
BR003,SKU0024,64,10,21,6.7,2025-09-18
BR003,SKU0025,49,11,43,4.47,2025-11-25
BR003,SKU0026,64,25,52,6.37,2025-11-07
BR003,SKU0027,57,10,29,5.18,2025-11-21
BR003,SKU0028,64,24,20,11.64,2025-11-12
BR003,SKU0029,51,23,48,9.05,2025-11-15
BR003,SKU0030,56,10,21,5.03,2025-09-27
BR003,SKU0031,72,11,56,12.89,2025-12-22
BR003,SKU0032,62,15,44,10.07,2025-09-01
BR003,SKU0033,58,17,64,6.34,2025-10-18
BR003,SKU0034,67,20,66,2.61,2025-10-05
BR003,SKU0035,59,19,48,5.02,2025-09-07
BR003,SKU0036,67,26,59,1.11,2025-11-19
BR003,SKU0037,72,10,25,5.86,2025-12-25
BR003,SKU0038,56,12,68,3.39,2025-10-17
BR003,SKU0039,62,10,38,10.62,2025-12-26
BR003,SKU0040,60,26,46,1.35,2025-10-24
BR003,SKU0041,58,17,26,10.21,2025-10-01
BR003,SKU0042,58,25,45,2.89,2025-10-12
BR003,SKU0043,70,23,29,7.97,2025-11-07
BR003,SKU0044,61,20,21,1.46,2025-10-27
BR003,SKU0045,66,29,62,5.67,2025-10-07
BR003,SKU0046,60,18,48,12.49,2025-09-15
BR003,SKU0047,63,27,57,2.48,2025-10-31
BR003,SKU0048,63,17,67,3.89,2025-11-16
BR003,SKU0049,61,16,41,10.83,2025-10-10
BR003,SKU0050,61,29,23,1.64,2025-12-28
BR003,SKU0051,54,25,59,13.0,2025-09-22
BR003,SKU0052,62,22,27,8.58,2025-11-04
BR003,SKU0053,61,18,53,12.96,2025-12-19
BR003,SKU0054,61,27,34,11.48,2025-09-25
BR003,SKU0055,56,18,42,8.73,2025-10-24
BR003,SKU0056,54,23,42,8.73,2025-11-15
BR003,SKU0057,60,14,49,3.83,2025-11-02
BR003,SKU0058,56,23,40,6.22,2025-11-26
BR003,SKU0059,72,19,22,11.1,2025-09-11
BR003,SKU0060,61,20,60,2.94,2025-10-03
BR003,SKU0061,51,12,28,9.0,2025-10-21
BR003,SKU0062,69,19,26,10.34,2025-09-15
BR003,SKU0063,61,23,69,8.66,2025-12-12
BR003,SKU0064,60,17,29,5.67,2025-12-18
BR003,SKU0065,59,18,29,10.22,2025-10-06
BR003,SKU0066,54,14,44,12.66,2025-09-14
BR003,SKU0067,48,15,63,6.52,2025-12-10
BR003,SKU0068,67,23,41,4.02,2025-12-18
BR003,SKU0069,56,22,49,14.98,2025-09-08
BR003,SKU0070,60,14,68,8.98,2025-09-07
BR003,SKU0071,63,26,46,5.47,2025-09-27
BR003,SKU0072,51,27,31,4.32,2025-09-15
BR003,SKU0073,69,16,26,11.05,2025-11-10
BR003,SKU0074,47,11,20,2.44,2025-11-16
BR003,SKU0075,60,25,37,8.87,2025-10-21
BR003,SKU0076,67,24,69,8.62,2025-12-25
BR003,SKU0077,57,16,47,1.07,2025-10-07
BR003,SKU0078,59,17,57,10.7,2025-09-20
BR003,SKU0079,58,23,34,13.91,2025-11-01
BR003,SKU0080,60,23,30,6.02,2025-09-03
BR004,SKU0001,52,28,28,12.32,2025-09-16
BR004,SKU0002,65,29,63,7.7,2025-11-16
BR004,SKU0003,51,29,35,10.95,2025-10-18
BR004,SKU0004,62,12,22,11.73,2025-12-02
BR004,SKU0005,60,15,69,8.4,2025-10-15
BR004,SKU0006,53,10,59,3.0,2025-12-28
BR004,SKU0007,58,20,35,7.64,2025-09-24
BR004,SKU0008,37,13,20,8.91,2025-10-25
BR004,SKU0009,69,29,31,6.97,2025-12-11
BR004,SKU0010,54,25,43,1.76,2025-09-30
BR004,SKU0011,70,13,69,5.46,2025-10-04
BR004,SKU0012,66,16,61,1.31,2025-11-18
BR004,SKU0013,62,14,60,2.81,2025-11-26
BR004,SKU0014,57,25,35,10.46,2025-09-07
BR004,SKU0015,64,18,24,5.07,2025-09-01
BR004,SKU0016,56,27,43,10.53,2025-12-14
BR004,SKU0017,58,19,21,4.54,2025-12-27
BR004,SKU0018,61,12,64,14.29,2025-09-22
BR004,SKU0019,60,11,67,13.39,2025-12-01
BR004,SKU0020,64,20,68,2.87,2025-11-22
BR004,SKU0021,56,13,57,14.0,2025-12-01
BR004,SKU0022,54,19,62,12.79,2025-10-12
BR004,SKU0023,55,12,67,2.78,2025-09-09
BR004,SKU0024,59,22,62,2.35,2025-12-11
BR004,SKU0025,56,17,22,11.91,2025-12-24
BR004,SKU0026,54,24,67,12.28,2025-11-02
BR004,SKU0027,50,15,32,3.66,2025-11-09
BR004,SKU0028,67,18,42,3.18,2025-09-05
BR004,SKU0029,55,29,40,6.9,2025-09-30
BR004,SKU0030,57,24,65,7.48,2025-12-16
BR004,SKU0031,46,29,40,14.19,2025-09-18
BR004,SKU0032,74,18,47,5.7,2025-12-01
BR004,SKU0033,43,14,69,6.48,2025-11-13
BR004,SKU0034,67,20,58,14.35,2025-10-04
BR004,SKU0035,71,28,21,14.08,2025-12-17
BR004,SKU0036,75,12,57,6.16,2025-12-09
BR004,SKU0037,60,14,28,2.87,2025-09-28
BR004,SKU0038,69,20,29,2.28,2025-10-25
BR004,SKU0039,52,17,50,10.03,2025-12-26
BR004,SKU0040,57,11,26,2.16,2025-11-26
BR004,SKU0041,58,24,59,12.42,2025-09-29
BR004,SKU0042,67,27,28,8.29,2025-09-11
BR004,SKU0043,62,12,49,12.38,2025-10-31
BR004,SKU0044,64,13,30,14.48,2025-09-06
BR004,SKU0045,53,15,20,10.51,2025-11-12
BR004,SKU0046,56,28,48,7.38,2025-09-26
BR004,SKU0047,57,28,39,6.82,2025-10-17
BR004,SKU0048,62,18,47,1.81,2025-12-06
BR004,SKU0049,66,18,38,8.14,2025-10-25
BR004,SKU0050,66,24,68,10.49,2025-12-08
BR004,SKU0051,61,12,20,2.22,2025-11-18
BR004,SKU0052,52,16,29,2.99,2025-11-08
BR004,SKU0053,50,19,62,2.23,2025-10-01
BR004,SKU0054,51,15,64,2.29,2025-12-07
BR004,SKU0055,64,13,48,6.28,2025-09-30
BR004,SKU0056,56,20,64,5.24,2025-09-02
BR004,SKU0057,58,13,55,3.56,2025-10-21
BR004,SKU0058,67,27,55,13.24,2025-12-18
BR004,SKU0059,51,21,25,12.8,2025-12-19
BR004,SKU0060,52,11,43,1.75,2025-11-14
BR004,SKU0061,60,11,61,2.44,2025-12-09
BR004,SKU0062,68,12,29,6.13,2025-11-03
BR004,SKU0063,52,20,50,4.56,2025-11-25
BR004,SKU0064,57,27,66,1.29,2025-12-21
BR004,SKU0065,65,24,21,8.52,2025-11-28
BR004,SKU0066,60,21,44,1.16,2025-11-17
BR004,SKU0067,53,25,45,11.02,2025-10-06
BR004,SKU0068,52,29,43,11.55,2025-10-16
BR004,SKU0069,59,18,66,7.52,2025-09-25
BR004,SKU0070,59,26,42,1.23,2025-09-29
BR004,SKU0071,56,10,45,4.61,2025-10-14
BR004,SKU0072,54,22,50,14.06,2025-12-03
BR004,SKU0073,44,15,50,7.17,2025-11-17
BR004,SKU0074,51,25,21,2.84,2025-10-23
BR004,SKU0075,56,19,53,9.94,2025-10-01
BR004,SKU0076,59,17,23,6.64,2025-12-02
BR004,SKU0077,59,21,29,7.5,2025-09-15
BR004,SKU0078,50,19,53,10.42,2025-10-14
BR004,SKU0079,58,27,45,13.82,2025-12-05
BR004,SKU0080,57,14,61,11.91,2025-12-25
BR005,SKU0001,52,16,23,8.47,2025-12-26
BR005,SKU0002,43,13,52,2.02,2025-11-13
BR005,SKU0003,53,21,48,11.69,2025-12-09
BR005,SKU0004,71,18,33,2.03,2025-09-11
BR005,SKU0005,55,18,29,8.95,2025-11-28
BR005,SKU0006,68,28,39,14.88,2025-11-15
BR005,SKU0007,68,11,60,12.57,2025-10-23
BR005,SKU0008,60,24,34,6.81,2025-09-30
BR005,SKU0009,61,20,28,1.3,2025-12-22
BR005,SKU0010,66,25,50,11.4,2025-10-27
BR005,SKU0011,61,11,43,9.76,2025-10-11
BR005,SKU0012,53,14,62,9.58,2025-11-06
BR005,SKU0013,54,10,42,13.08,2025-09-28
BR005,SKU0014,64,18,22,3.12,2025-10-17
BR005,SKU0015,64,10,29,8.28,2025-10-18
BR005,SKU0016,53,25,32,8.69,2025-09-12
BR005,SKU0017,51,27,32,1.96,2025-10-25
BR005,SKU0018,60,24,24,8.04,2025-09-22
BR005,SKU0019,60,29,25,5.19,2025-12-25
BR005,SKU0020,59,16,67,11.24,2025-11-23
BR005,SKU0021,48,27,50,11.42,2025-10-16
BR005,SKU0022,72,21,31,4.84,2025-11-17
BR005,SKU0023,71,26,26,7.67,2025-10-23
BR005,SKU0024,59,21,52,11.34,2025-09-28
BR005,SKU0025,69,24,63,5.02,2025-12-02
BR005,SKU0026,66,28,30,6.49,2025-12-11
BR005,SKU0027,56,14,34,7.15,2025-10-31
BR005,SKU0028,66,14,65,2.29,2025-11-24
BR005,SKU0029,58,21,25,5.08,2025-11-17
BR005,SKU0030,56,21,66,1.09,2025-09-14
BR005,SKU0031,44,29,52,13.25,2025-11-29
BR005,SKU0032,55,10,58,5.72,2025-12-20
BR005,SKU0033,50,20,44,3.99,2025-12-09
BR005,SKU0034,49,23,42,6.49,2025-11-09
BR005,SKU0035,60,19,50,7.47,2025-10-22
BR005,SKU0036,51,10,28,10.42,2025-10-16
BR005,SKU0037,50,27,32,6.63,2025-10-15
BR005,SKU0038,69,15,62,1.78,2025-11-28
BR005,SKU0039,58,29,52,11.62,2025-11-23
BR005,SKU0040,73,16,39,5.33,2025-11-15
BR005,SKU0041,66,25,31,12.94,2025-12-02
BR005,SKU0042,54,11,24,1.2,2025-12-03
BR005,SKU0043,56,21,21,5.92,2025-09-15
BR005,SKU0044,70,15,51,14.48,2025-12-19
BR005,SKU0045,79,22,57,4.73,2025-10-05
BR005,SKU0046,55,28,56,10.92,2025-10-13
BR005,SKU0047,51,29,42,6.74,2025-11-16
BR005,SKU0048,60,26,50,3.98,2025-11-10
BR005,SKU0049,75,10,64,13.47,2025-09-14
BR005,SKU0050,51,23,20,10.19,2025-10-02
BR005,SKU0051,58,16,33,14.69,2025-11-10
BR005,SKU0052,66,22,43,8.03,2025-10-03
BR005,SKU0053,70,18,38,9.91,2025-09-26
BR005,SKU0054,56,21,36,6.82,2025-09-15
BR005,SKU0055,58,13,47,6.69,2025-09-09
BR005,SKU0056,71,16,50,8.48,2025-12-19
BR005,SKU0057,60,17,37,8.11,2025-11-07
BR005,SKU0058,71,19,45,7.2,2025-10-31
BR005,SKU0059,66,29,45,11.22,2025-09-22
BR005,SKU0060,46,10,67,2.69,2025-09-22
BR005,SKU0061,64,28,34,10.18,2025-12-25
BR005,SKU0062,59,27,55,5.24,2025-11-04
BR005,SKU0063,55,22,66,7.0,2025-09-16
BR005,SKU0064,55,27,67,9.65,2025-09-09
BR005,SKU0065,64,28,56,14.34,2025-11-14
BR005,SKU0066,51,26,47,6.81,2025-11-23
BR005,SKU0067,56,17,36,9.67,2025-09-28
BR005,SKU0068,59,18,31,2.87,2025-10-26
BR005,SKU0069,57,19,62,11.75,2025-12-06
BR005,SKU0070,55,28,28,11.2,2025-10-11
BR005,SKU0071,64,22,43,1.89,2025-10-24
BR005,SKU0072,50,28,21,4.0,2025-09-27
BR005,SKU0073,71,21,48,6.53,2025-10-25
BR005,SKU0074,57,16,48,5.16,2025-10-11
BR005,SKU0075,50,20,67,10.9,2025-12-17
BR005,SKU0076,63,24,68,6.57,2025-10-20
BR005,SKU0077,52,29,55,6.31,2025-09-21
BR005,SKU0078,68,15,26,2.63,2025-11-19
BR005,SKU0079,56,23,32,1.61,2025-12-02
BR005,SKU0080,56,22,50,2.2,2025-11-26
BR006,SKU0001,60,19,28,12.0,2025-11-15
BR006,SKU0002,58,15,50,9.18,2025-09-05
BR006,SKU0003,51,28,61,3.69,2025-10-23
BR006,SKU0004,50,18,26,5.89,2025-12-22
BR006,SKU0005,67,26,52,3.64,2025-09-22
BR006,SKU0006,59,16,57,12.8,2025-10-09
BR006,SKU0007,62,24,20,13.08,2025-10-17
BR006,SKU0008,58,29,24,13.31,2025-09-06
BR006,SKU0009,64,20,44,7.98,2025-12-09
BR006,SKU0010,65,29,21,11.89,2025-12-26
BR006,SKU0011,64,28,40,6.39,2025-11-16
BR006,SKU0012,52,16,53,5.66,2025-12-24
BR006,SKU0013,54,13,47,13.77,2025-09-01
BR006,SKU0014,69,12,43,9.58,2025-12-12
BR006,SKU0015,64,27,30,8.12,2025-09-02
BR006,SKU0016,53,15,24,10.26,2025-12-22
BR006,SKU0017,60,27,58,4.65,2025-12-03
BR006,SKU0018,55,28,26,13.4,2025-12-15
BR006,SKU0019,61,27,52,11.01,2025-10-03
BR006,SKU0020,59,18,29,3.96,2025-12-26
BR006,SKU0021,57,28,46,10.56,2025-09-22
BR006,SKU0022,56,19,69,7.94,2025-12-25
BR006,SKU0023,56,27,66,1.17,2025-09-28
BR006,SKU0024,56,20,55,9.27,2025-10-07
BR006,SKU0025,60,15,28,13.98,2025-10-28
BR006,SKU0026,58,19,27,4.03,2025-11-08
BR006,SKU0027,56,26,51,2.33,2025-12-03
BR006,SKU0028,55,23,57,14.83,2025-11-16
BR006,SKU0029,63,14,43,13.52,2025-10-13
BR006,SKU0030,93,16,60,6.65,2025-11-04
BR006,SKU0031,58,22,58,8.89,2025-10-16
BR006,SKU0032,56,19,28,12.6,2025-12-14
BR006,SKU0033,65,14,39,11.04,2025-09-12
BR006,SKU0034,64,24,49,5.02,2025-10-02
BR006,SKU0035,63,17,57,8.19,2025-12-21
BR006,SKU0036,64,13,37,7.93,2025-12-20
BR006,SKU0037,50,13,63,5.07,2025-09-14
BR006,SKU0038,64,21,29,7.64,2025-11-02
BR006,SKU0039,48,15,29,6.4,2025-11-28
BR006,SKU0040,58,27,61,1.45,2025-09-27
BR006,SKU0041,57,14,64,1.87,2025-10-09
BR006,SKU0042,64,21,56,5.26,2025-10-03
BR006,SKU0043,79,26,30,11.19,2025-10-22
BR006,SKU0044,65,24,46,8.25,2025-11-01
BR006,SKU0045,66,22,28,1.49,2025-09-06
BR006,SKU0046,62,21,39,7.41,2025-11-05
BR006,SKU0047,60,18,40,12.33,2025-12-13
BR006,SKU0048,55,20,62,3.08,2025-09-18
BR006,SKU0049,67,12,60,4.51,2025-11-09
BR006,SKU0050,65,11,53,13.35,2025-09-26
BR006,SKU0051,66,25,29,7.68,2025-11-25
BR006,SKU0052,64,25,63,3.92,2025-09-07
BR006,SKU0053,57,13,50,11.68,2025-10-04
BR006,SKU0054,64,25,65,2.39,2025-12-20
BR006,SKU0055,63,26,25,9.36,2025-09-08
BR006,SKU0056,61,19,60,1.79,2025-12-24
BR006,SKU0057,68,17,62,14.79,2025-10-19
BR006,SKU0058,53,25,44,10.93,2025-10-11
BR006,SKU0059,65,22,52,13.0,2025-12-11
BR006,SKU0060,63,29,56,6.4,2025-09-28
BR006,SKU0061,59,17,58,8.45,2025-12-12
BR006,SKU0062,62,25,56,13.65,2025-09-08
BR006,SKU0063,55,26,23,4.2,2025-12-15
BR006,SKU0064,50,15,39,2.95,2025-09-05
BR006,SKU0065,69,27,60,9.3,2025-12-27
BR006,SKU0066,57,27,53,1.51,2025-10-24
BR006,SKU0067,52,17,54,4.92,2025-12-29
BR006,SKU0068,76,29,57,6.08,2025-11-18
BR006,SKU0069,67,10,59,5.08,2025-12-19
BR006,SKU0070,60,11,56,4.93,2025-12-28
BR006,SKU0071,51,25,44,8.75,2025-10-06
BR006,SKU0072,54,21,38,13.65,2025-11-22
BR006,SKU0073,63,25,57,8.63,2025-09-26
BR006,SKU0074,60,20,33,11.31,2025-11-04
BR006,SKU0075,79,19,46,14.79,2025-10-20
BR006,SKU0076,61,17,63,4.1,2025-11-19
BR006,SKU0077,59,11,24,5.93,2025-09-22
BR006,SKU0078,58,16,55,9.25,2025-09-06
BR006,SKU0079,65,11,38,6.04,2025-09-14
BR006,SKU0080,60,28,36,6.47,2025-09-01
BR007,SKU0001,62,10,55,9.84,2025-09-28
BR007,SKU0002,78,17,50,12.82,2025-11-15
BR007,SKU0003,62,24,66,10.45,2025-12-22
BR007,SKU0004,69,29,46,4.53,2025-10-23
BR007,SKU0005,63,24,29,11.61,2025-10-13
BR007,SKU0006,51,16,40,9.43,2025-09-14
BR007,SKU0007,61,22,50,7.26,2025-09-21
BR007,SKU0008,68,26,68,5.49,2025-09-03
BR007,SKU0009,48,25,26,10.95,2025-11-01
BR007,SKU0010,55,13,34,10.89,2025-11-12
BR007,SKU0011,61,24,23,11.64,2025-10-21
BR007,SKU0012,52,29,63,14.93,2025-11-27
BR007,SKU0013,61,26,61,14.5,2025-10-01
BR007,SKU0014,49,15,26,9.75,2025-10-07
BR007,SKU0015,62,14,44,1.42,2025-09-27
BR007,SKU0016,52,19,38,4.48,2025-11-16
BR007,SKU0017,54,23,56,2.01,2025-12-22
BR007,SKU0018,45,21,45,8.58,2025-11-07
BR007,SKU0019,72,11,68,3.68,2025-11-22
BR007,SKU0020,69,10,62,1.01,2025-12-04
BR007,SKU0021,58,23,62,10.99,2025-10-27
BR007,SKU0022,63,10,25,1.16,2025-10-19
BR007,SKU0023,59,12,65,8.13,2025-11-14
BR007,SKU0024,56,17,46,5.37,2025-11-30
BR007,SKU0025,69,29,37,10.21,2025-11-20
BR007,SKU0026,53,20,21,11.32,2025-10-31
BR007,SKU0027,71,16,39,1.42,2025-11-08
BR007,SKU0028,58,21,60,9.13,2025-10-13
BR007,SKU0029,60,24,47,6.3,2025-12-04
BR007,SKU0030,70,20,25,7.36,2025-12-01
BR007,SKU0031,65,26,63,1.73,2025-09-05
BR007,SKU0032,56,29,20,12.98,2025-10-18
BR007,SKU0033,61,20,55,7.8,2025-11-28
BR007,SKU0034,57,28,20,12.68,2025-09-05
BR007,SKU0035,60,19,45,5.15,2025-09-11
BR007,SKU0036,60,26,36,4.65,2025-10-15
BR007,SKU0037,41,21,36,14.61,2025-10-26
BR007,SKU0038,57,18,34,5.53,2025-11-05
BR007,SKU0039,75,25,41,5.61,2025-11-02
BR007,SKU0040,60,10,20,8.75,2025-10-10
BR007,SKU0041,61,13,33,12.11,2025-12-09
BR007,SKU0042,59,13,69,3.03,2025-11-01
BR007,SKU0043,57,10,55,5.21,2025-12-15
BR007,SKU0044,54,27,37,6.77,2025-12-12
BR007,SKU0045,57,24,47,9.07,2025-12-07
BR007,SKU0046,64,16,58,4.31,2025-11-01
BR007,SKU0047,56,21,45,9.73,2025-11-10
BR007,SKU0048,56,22,58,8.16,2025-11-27
BR007,SKU0049,59,21,21,4.67,2025-10-29
BR007,SKU0050,64,15,50,8.52,2025-10-03
BR007,SKU0051,57,25,68,3.47,2025-11-26
BR007,SKU0052,62,13,37,4.19,2025-09-03
BR007,SKU0053,52,10,31,3.18,2025-12-18
BR007,SKU0054,59,29,46,2.97,2025-12-08
BR007,SKU0055,66,18,58,13.05,2025-09-27
BR007,SKU0056,70,20,42,14.94,2025-12-14
BR007,SKU0057,55,28,69,4.42,2025-10-14
BR007,SKU0058,60,21,45,7.75,2025-12-22
BR007,SKU0059,51,19,66,14.94,2025-11-27
BR007,SKU0060,57,15,20,12.28,2025-11-19
BR007,SKU0061,66,19,38,4.9,2025-10-22
BR007,SKU0062,57,11,57,12.6,2025-10-31
BR007,SKU0063,53,19,21,9.24,2025-09-30
BR007,SKU0064,62,29,33,2.99,2025-10-04
BR007,SKU0065,62,14,63,14.13,2025-09-09
BR007,SKU0066,50,17,54,3.3,2025-10-28
BR007,SKU0067,53,13,25,4.69,2025-12-21
BR007,SKU0068,48,23,36,2.31,2025-09-06
BR007,SKU0069,67,19,63,1.01,2025-11-12
BR007,SKU0070,70,21,65,1.87,2025-09-09
BR007,SKU0071,61,21,64,3.46,2025-12-02
BR007,SKU0072,55,29,27,6.87,2025-11-13
BR007,SKU0073,40,28,65,3.65,2025-10-01
BR007,SKU0074,72,11,27,3.18,2025-11-28
BR007,SKU0075,56,14,39,1.94,2025-10-27
BR007,SKU0076,52,29,42,13.35,2025-12-16
BR007,SKU0077,61,12,52,3.65,2025-10-02
BR007,SKU0078,44,10,69,13.99,2025-10-25
BR007,SKU0079,61,24,63,2.65,2025-10-05
BR007,SKU0080,55,27,55,12.12,2025-09-29
BR008,SKU0001,56,13,33,10.28,2025-12-05
BR008,SKU0002,51,19,21,10.02,2025-10-22
BR008,SKU0003,72,22,24,5.74,2025-12-03
BR008,SKU0004,69,10,26,1.36,2025-12-05
BR008,SKU0005,77,21,56,3.5,2025-12-25
BR008,SKU0006,64,20,36,7.32,2025-12-11
BR008,SKU0007,53,24,35,10.2,2025-10-09
BR008,SKU0008,68,13,29,3.1,2025-09-27
BR008,SKU0009,50,14,64,1.16,2025-10-08
BR008,SKU0010,57,10,68,6.91,2025-10-10
BR008,SKU0011,62,26,67,1.3,2025-11-03
BR008,SKU0012,60,24,45,10.62,2025-09-05
BR008,SKU0013,55,12,21,4.32,2025-10-30
BR008,SKU0014,65,24,42,6.89,2025-11-23
BR008,SKU0015,47,16,49,5.68,2025-10-02
BR008,SKU0016,69,28,46,11.08,2025-10-21
BR008,SKU0017,68,22,31,4.92,2025-11-29
BR008,SKU0018,69,28,25,6.93,2025-10-07
BR008,SKU0019,63,14,41,6.25,2025-11-29
BR008,SKU0020,62,14,47,14.47,2025-09-10
BR008,SKU0021,58,14,60,7.67,2025-10-08
BR008,SKU0022,58,11,20,10.76,2025-11-10
BR008,SKU0023,64,18,33,2.9,2025-09-16
BR008,SKU0024,63,23,49,4.88,2025-10-25
BR008,SKU0025,53,13,56,4.4,2025-09-22
BR008,SKU0026,58,19,44,13.39,2025-12-24
BR008,SKU0027,55,26,33,12.57,2025-09-29
BR008,SKU0028,71,13,41,1.68,2025-11-26
BR008,SKU0029,67,11,38,7.19,2025-10-19
BR008,SKU0030,55,17,24,1.19,2025-11-29
BR008,SKU0031,66,14,25,10.69,2025-10-11
BR008,SKU0032,69,25,26,4.19,2025-11-08
BR008,SKU0033,57,20,52,3.25,2025-12-05
BR008,SKU0034,72,19,48,9.14,2025-10-18
BR008,SKU0035,61,16,64,7.91,2025-09-18
BR008,SKU0036,45,20,52,1.33,2025-10-23
BR008,SKU0037,69,22,33,5.17,2025-09-12
BR008,SKU0038,61,18,32,6.22,2025-11-13
BR008,SKU0039,73,24,60,3.77,2025-09-18
BR008,SKU0040,59,23,64,8.08,2025-10-29
BR008,SKU0041,63,20,27,5.78,2025-11-29
BR008,SKU0042,58,29,62,8.08,2025-09-26
BR008,SKU0043,65,15,34,13.82,2025-12-16
BR008,SKU0044,75,20,57,3.31,2025-11-07
BR008,SKU0045,56,24,40,11.42,2025-12-28
BR008,SKU0046,52,13,27,6.11,2025-10-18
BR008,SKU0047,67,17,65,1.85,2025-11-08
BR008,SKU0048,55,12,43,14.34,2025-10-16
BR008,SKU0049,54,16,68,4.56,2025-11-26
BR008,SKU0050,51,14,57,11.19,2025-09-09
BR008,SKU0051,54,14,29,3.97,2025-12-17
BR008,SKU0052,59,25,24,9.13,2025-09-07
BR008,SKU0053,61,28,62,2.33,2025-09-16
BR008,SKU0054,52,11,64,2.25,2025-11-20
BR008,SKU0055,68,27,51,4.37,2025-11-21
BR008,SKU0056,56,14,67,6.07,2025-11-26
BR008,SKU0057,59,23,42,12.4,2025-11-29
BR008,SKU0058,60,14,66,10.22,2025-10-22
BR008,SKU0059,49,15,37,13.61,2025-12-23
BR008,SKU0060,54,16,58,12.15,2025-11-15
BR008,SKU0061,54,23,60,4.22,2025-12-18
BR008,SKU0062,59,15,48,11.77,2025-09-16
BR008,SKU0063,65,17,23,8.93,2025-09-15
BR008,SKU0064,54,10,36,12.7,2025-10-25
BR008,SKU0065,73,13,31,2.99,2025-12-05
BR008,SKU0066,64,18,36,14.95,2025-12-27
BR008,SKU0067,57,23,44,5.01,2025-10-22
BR008,SKU0068,73,21,54,14.86,2025-09-19
BR008,SKU0069,58,17,55,11.34,2025-09-26
BR008,SKU0070,68,27,24,3.19,2025-09-27
BR008,SKU0071,65,24,44,7.38,2025-11-17
BR008,SKU0072,56,16,29,9.34,2025-12-16
